City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Bluff,NZ,2021-05-23 16:49:39,-46.6,168.3333,46.63,69,28,9.48
139,Pauini,BR,2021-05-23 16:49:39,-7.7136,-66.9764,88.72,62,65,3.69
140,Cabo San Lucas,MX,2021-05-23 16:49:40,22.8909,-109.9124,87.62,51,54,6.82
141,Hasaki,JP,2021-05-23 16:49:40,35.7333,140.8333,61.2,86,96,2.62
142,Solnechnyy,RU,2021-05-23 16:49:40,50.7214,136.6319,45.3,93,58,4.99
143,Honningsvag,NO,2021-05-23 16:49:41,70.9821,25.9704,38.95,45,75,3.44
144,Sao Filipe,CV,2021-05-23 16:49:41,14.8961,-24.4956,73.62,74,15,7.09
145,Ternate,ID,2021-05-23 16:49:42,0.8,127.4,80.87,76,99,1.97
146,Olafsvik,IS,2021-05-23 16:49:42,64.8945,-23.7142,43.75,71,50,14.99
147,Sapa,PH,2021-05-23 16:49:42,5.1544,120.3241,80.87,81,23,5.75
148,Kharan,PK,2021-05-23 16:49:43,28.5833,65.4167,89.17,6,0,3.49
149,Georgetown,MY,2021-05-23 16:49:43,5.4112,100.3354,84.88,79,20,2.3
150,Saint George,US,2021-05-23 16:47:05,37.1041,-113.5841,67.62,26,1,1.01
151,Kurumkan,RU,2021-05-23 16:49:44,54.3,110.3,37.67,59,72,5.23
152,Hualmay,PE,2021-05-23 16:49:44,-11.0964,-77.6139,69.89,71,57,8.81
153,Port Blair,IN,2021-05-23 16:49:45,11.6667,92.75,82.53,82,100,24.63
154,Richards Bay,ZA,2021-05-23 16:49:45,-28.783,32.0377,65.07,77,3,9.31
155,Kargasok,RU,2021-05-23 16:49:45,59.0556,80.8572,60.26,71,77,12.48
156,Severodvinsk,RU,2021-05-23 16:49:46,64.5635,39.8302,48.31,63,74,7.14
157,Vallenar,CL,2021-05-23 16:49:46,-28.5708,-70.7581,80.38,5,81,4.05
158,Adrar,MR,2021-05-23 16:49:46,20.5022,-10.0711,106.23,9,9,7.96
159,Kostomuksha,RU,2021-05-23 16:49:47,64.571,30.5767,42.12,72,100,13.35
160,Henties Bay,NA,2021-05-23 16:49:47,-22.116,14.2845,73.17,51,0,7.52
161,Mgachi,RU,2021-05-23 16:49:47,51.05,142.2667,44.89,92,4,4.03
162,Arrecife,ES,2021-05-23 16:45:58,28.963,-13.5477,73.38,49,40,31.07
163,Cozumel,MX,2021-05-23 16:49:47,20.5083,-86.9458,87.01,69,71,7.0
164,Franca,BR,2021-05-23 16:49:48,-20.5386,-47.4008,78.55,49,100,12.64
165,Tsaratanana,MG,2021-05-23 16:49:48,-16.7833,47.65,70.36,69,87,5.88
166,Riachao Das Neves,BR,2021-05-23 16:49:48,-11.7461,-44.91,95.49,23,29,3.4
167,Port Elizabeth,ZA,2021-05-23 16:49:49,-33.918,25.5701,60.1,63,0,0.0
168,Petropavlovsk-Kamchatskiy,RU,2021-05-23 16:49:49,53.0452,158.6483,39.79,85,75,1.72
169,Tigzirt,DZ,2021-05-23 16:49:50,36.8886,4.1198,68.16,80,78,12.12
170,Poquoson,US,2021-05-23 16:47:05,37.1224,-76.3458,91.02,42,40,10.36
171,Castanos,MX,2021-05-23 16:49:50,26.7833,-101.4167,79.29,57,88,4.97
172,Hervey Bay,AU,2021-05-23 16:49:51,-25.2986,152.8535,63.03,90,1,3.0
173,Lavrentiya,RU,2021-05-23 16:49:51,65.5833,-171.0,29.91,95,99,4.41
174,Touros,BR,2021-05-23 16:49:52,-5.1989,-35.4608,86.9,66,48,17.02
175,New Norfolk,AU,2021-05-23 16:49:52,-42.7826,147.0587,49.75,79,47,3.04
176,Alekseyevka,RU,2021-05-23 16:46:59,50.6309,38.6903,62.87,75,59,9.19
177,Dezhou,CN,2021-05-23 16:49:53,37.4486,116.2925,65.16,45,36,11.88
178,Chokurdakh,RU,2021-05-23 16:49:53,70.6333,147.9167,28.58,97,100,4.14
179,Tezu,IN,2021-05-23 16:49:53,27.9167,96.1667,78.33,76,0,4.14
180,Taltal,CL,2021-05-23 16:49:54,-25.4,-70.4833,67.33,61,65,4.76
181,Ngorongoro,TZ,2021-05-23 16:49:54,-3.2397,35.4875,51.67,88,62,5.7
182,Beidao,CN,2021-05-23 16:49:55,34.5686,105.8933,56.5,60,98,2.19
183,Mar Del Plata,AR,2021-05-23 16:49:55,-38.0023,-57.5575,60.01,42,90,11.99
184,Hamilton,US,2021-05-23 16:45:14,39.1834,-84.5333,86.22,54,1,4.0
185,Araouane,ML,2021-05-23 16:49:55,18.9048,-3.5265,108.63,9,48,10.18
186,Santa Cruz De La Palma,ES,2021-05-23 16:49:55,28.6835,-17.7642,71.74,56,20,17.27
187,Provideniya,RU,2021-05-23 16:49:56,64.3833,-173.3,35.33,86,100,8.79
188,Gushikawa,JP,2021-05-23 16:49:56,26.3544,127.8686,80.19,93,75,11.21
189,Faanui,PF,2021-05-23 16:49:56,-16.4833,-151.75,81.3,73,32,14.18
190,Bandarbeyla,SO,2021-05-23 16:49:57,9.4942,50.8122,82.62,71,43,30.94
191,Jalu,LY,2021-05-23 16:49:57,29.0331,21.5482,87.85,12,0,9.8
192,Nemuro,JP,2021-05-23 16:49:58,43.3236,145.575,43.84,98,100,5.26
193,Kalianget,ID,2021-05-23 16:49:58,-7.05,113.9333,80.19,76,13,5.64
194,Porto Nacional,BR,2021-05-23 16:49:58,-10.7081,-48.4172,87.8,36,72,5.39
195,Sorland,NO,2021-05-23 16:49:59,67.667,12.6934,48.27,68,100,14.25
196,Vila Franca Do Campo,PT,2021-05-23 16:49:59,37.7167,-25.4333,63.01,58,20,3.91
197,Filingue,NE,2021-05-23 16:49:59,14.3521,3.3168,107.35,13,99,3.94
198,Black River,JM,2021-05-23 16:49:59,18.0264,-77.8487,86.99,56,97,11.23
199,Cockburn Town,TC,2021-05-23 16:50:00,21.4612,-71.1419,82.36,65,40,14.97
200,Farafangana,MG,2021-05-23 16:50:00,-22.8167,47.8333,70.47,69,17,5.59
201,Boshnyakovo,RU,2021-05-23 16:50:01,49.6333,142.1667,45.55,91,32,2.24
202,Bethel,US,2021-05-23 16:49:27,41.3712,-73.414,85.95,57,1,3.0
203,Oskarshamn,SE,2021-05-23 16:50:03,57.2645,16.4484,54.81,80,80,9.42
204,Vardo,NO,2021-05-23 16:50:03,70.3705,31.1107,39.4,56,0,8.05
