City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
318,Guerrero Negro,MX,27.9769,-114.0611,65.68,65,82,16.04,broken clouds
319,Ulaanbaatar,MN,47.9077,106.8832,39.33,75,0,1.25,clear sky
320,Ornskoldsvik,SE,63.2909,18.7153,58.82,66,74,7.63,broken clouds
321,Sandnessjoen,NO,66.0217,12.6316,51.58,79,24,5.61,few clouds
322,North Platte,US,41.1239,-100.7654,57.25,84,90,3.0,overcast clouds
323,Izhmorskiy,RU,56.194,86.6414,38.62,62,45,3.36,scattered clouds
324,Umba,RU,66.6871,34.3429,43.03,54,95,9.04,overcast clouds
325,Kahului,US,20.8947,-156.47,77.85,76,15,5.01,few clouds
326,Mandurah,AU,-32.55,115.7,55.17,71,77,17.09,broken clouds
327,Turayf,SA,31.6725,38.6637,82.36,15,0,9.62,clear sky
328,Upernavik,GL,72.7868,-56.1549,31.51,94,92,14.76,overcast clouds
329,Karratha,AU,-20.7377,116.8463,71.01,73,100,10.58,light rain
330,Viedma,AR,-40.8135,-62.9967,51.89,40,5,16.93,clear sky
331,Nago,JP,26.5881,127.9761,70.65,94,100,13.49,heavy intensity rain
332,Chengdu,CN,30.6667,104.0667,71.49,78,40,6.49,scattered clouds
333,Harindanga,IN,22.0383,88.3214,84.18,82,7,12.44,clear sky
334,Dikson,RU,73.5069,80.5464,22.33,92,49,1.45,scattered clouds
335,Terme,TR,41.2092,36.9739,62.53,90,89,3.44,overcast clouds
336,Manado,ID,1.487,124.8455,77.58,89,99,2.06,overcast clouds
337,Platanos,GR,37.6667,21.6167,77.7,61,21,2.89,few clouds
338,Northam,GB,51.0333,-4.2167,67.33,82,81,8.21,broken clouds
339,Lompoc,US,34.6391,-120.4579,60.48,79,90,12.66,overcast clouds
340,Qaqortoq,GL,60.7167,-46.0333,45.1,80,100,7.54,overcast clouds
341,Grenaa,DK,56.4158,10.8783,66.42,76,7,5.75,clear sky
342,Rorvik,NO,64.8621,11.2373,48.49,77,47,10.16,scattered clouds
343,Lucapa,AO,-8.4192,20.7447,74.05,36,82,3.76,broken clouds
344,Iberia,US,29.9502,-91.7507,80.96,73,90,11.92,overcast clouds
345,Axim,GH,4.8699,-2.2405,83.68,73,86,10.09,overcast clouds
