City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
99,Hithadhoo,MV,83.5,broken clouds,-0.6,73.0833,Scoop Guest House
100,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
104,Sechura,PE,76.32,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
105,Bahir Dar,ET,74.48,broken clouds,11.5936,37.3908,"Delano Hotel, Bahir Dar"
107,Faanui,PF,79.14,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
111,Meulaboh,ID,77.4,overcast clouds,4.1363,96.1285,Kost Pria
113,Poum,NC,70.74,overcast clouds,-20.2333,164.0167,Gîte kajeon
114,Yushan,CN,74.98,light rain,31.3776,120.9543,Swissotel Kunshan
120,Kamuli,UG,67.28,broken clouds,0.9472,33.1197,Century Hotel Limited And laundry Services
121,Port Blair,IN,81.14,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
124,Katsuura,JP,69.12,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
125,Bandundu,CD,82.33,overcast clouds,-3.3167,17.3667,Coja Color
130,Kahului,US,78.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
131,Barcelona,ES,83.3,few clouds,41.3888,2.1590000000000003,Axel Hotel Barcelona
135,Oktyabrskoye,RU,68.14,overcast clouds,43.0645,44.7417,Prolesok Mini-hotel
136,Villafranca Di Verona,IT,73.58,broken clouds,45.3524,10.8402,Hotel Antares - Sport Beauty & Wellness
137,Mahebourg,MU,77.29,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
144,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
147,Mabaruma,GY,78.06,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
149,Kavieng,PG,81.97,light rain,-2.5744,150.7967,Nusa Island Retreat
152,Athens,GR,73.36,few clouds,37.9795,23.7162,Novotel Athenes
154,Ostuni,IT,72.28,few clouds,40.7276,17.5764,Hotel Relais La Sommità
156,Moncao,PT,82.53,clear sky,42.0789,-8.4808,Hotel Bienestar Termas de Monção
161,Pitimbu,BR,84.79,clear sky,-7.4706,-34.8086,Reserva do Abiaí
165,Cidreira,BR,66.07,clear sky,-30.1811,-50.2056,Hotel Castelo
166,Hilo,US,76.62,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
168,Bengkulu,ID,75.33,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
171,Gat,IL,74.8,clear sky,31.61,34.7642,OlusHome
178,Kloulklubed,PW,81.1,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
183,Ribeira Grande,PT,66.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
185,Shache,CN,79.79,broken clouds,38.4167,77.2406,Delong Hotel
188,Pundaguitan,PH,82.11,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
190,Alofi,NU,73.29,moderate rain,-19.0595,-169.9187,Taloa Heights
191,Chimbote,PE,67.89,overcast clouds,-9.0853,-78.5783,Hotel Viera Chimbote
193,Burriana,ES,82.74,clear sky,39.889,-0.085,Hotel Beatriz
195,Mahajanga,MG,77.02,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
196,Rio Grande,BR,66.31,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
203,Castro,BR,74.41,few clouds,-24.7911,-50.0119,CHACARA BAILLY
210,Vao,NC,68.2,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
213,Karratha,AU,72.09,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
219,Ambilobe,MG,72.36,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
221,Kisangani,CD,77.04,overcast clouds,0.5167,25.2,Grand Ramela Hotel
223,Acarau,BR,84.36,broken clouds,-2.8856,-40.12,castelo pizzaria
226,Lorengau,PG,82.18,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
227,Caravelas,BR,81.5,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
228,Santiago Del Estero,AR,70.65,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
230,Santa Maria,BR,69.1,clear sky,-29.6842,-53.8069,Hotel Morotin
233,Sayyan,YE,69.46,scattered clouds,15.1718,44.3244,متنزه و بحيرة سيان
234,Namibe,AO,73.63,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
237,San Juan,AR,70.74,broken clouds,-31.5375,-68.5364,Hotel Provincial
238,Ilebo,CD,81.77,broken clouds,-4.3167,20.5833,Hôtel BUMAK
239,Taitung,TW,80.6,overcast clouds,22.7583,121.1444,Taitung Bali Suites Hotel
247,Ponta Do Sol,PT,73.13,scattered clouds,32.6667,-17.1,Hotel do Campo
249,Gasa,PS,75.9,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
252,Buala,SB,76.87,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
